mirror_type,mirror_id,x,y
1,4,13.460759037887,89.99893313880973
0,10,16.965744334438135,110.70755854583047
0,11,48.3350441607115,109.8349830699767
0,12,52.53331989570826,90.91342200541779
1,5,69.8860361067644,82.3404029458444
0,13,83.00029147748705,72.18692135457913
0,14,111.07932384666549,73.14631784148546
0,15,232.62721002712874,83.02759273274238
1,6,222.1049066068033,73.65738565264984
3,3,228.46962056370378,45.7234346859159
0,16,263.04643124601074,22.418184777937384
1,7,200.84066695881847,8.001655799705759
0,17,150.6750172426858,9.901473572975393
3,0,-89.04346690325272,53.73323926443797
3,1,-205.19243074149244,141.0569614248011
1,1,-188.624409579495,193.18600392054006
0,4,-150.49024933585986,142.13263121053777
0,5,-151.0428757861176,150.18338681178903
0,6,-150.64369770770566,158.95746708144728
2,0,-124.79838286197989,116.90322337315891
0,7,-98.94627404349743,115.38472538819472
3,2,-98.9389163803116,146.76542789597866
4,0,-155.82974580768754,19.133486914608156
3,4,-32.49079889340339,133.63135656362954
